brand,km_driven,fuel,owner,selling_price
Audi,248217,CNG,Third Owner,1459898
Jaguar,215862,CNG,Fourth Owner,2398921
Fiat,84557,Electric,First Owner,3312228
Volkswagen,247744,Electric,Second Owner,2671846
Skoda,76260,CNG,Second Owner,4284127
Mercedes,164762,Electric,Second Owner,4674232
Fiat,6407,CNG,First Owner,3032807
Land Rover,78568,Diesel,Fourth Owner,1580161
Audi,63560,Petrol,Fourth Owner,769544
Isuzu,183412,Petrol,Fourth Owner,3225049
Volvo,153866,CNG,Third Owner,1817092
Lexus,155953,Petrol,Third Owner,377818
Skoda,222364,CNG,Third Owner,624864
Skoda,241770,Electric,Third Owner,3189155
Mini,231024,Diesel,Second Owner,1369475
Land Rover,185775,Petrol,Second Owner,1124199
Toyota,180426,Petrol,Fourth Owner,4130424
Mercedes,96288,Electric,Third Owner,413051
Mini,214534,Diesel,Fourth Owner,534355
Honda,124020,Diesel,First Owner,3023235
Porsche,104301,Diesel,Third Owner,812675
Land Rover,19390,Electric,Third Owner,193435
Hyundai,240475,Petrol,Fourth Owner,3654602
Mini,223547,Petrol,Fourth Owner,4857499
Kia,32307,Diesel,First Owner,1593932
Datsun,232436,Electric,Fourth Owner,679224
BMW,230121,Electric,Third Owner,2589910
Hyundai,29502,Electric,Second Owner,3345151
Citroen,231671,Diesel,First Owner,3968838
Land Rover,27486,Electric,First Owner,4302304
Maruti,116813,Diesel,Third Owner,3122721
Kia,174330,Diesel,Second Owner,3177060
Isuzu,193788,Diesel,Fourth Owner,208407
Porsche,233300,CNG,Fourth Owner,3232245
Fiat,108920,Diesel,Second Owner,4426461
Kia,217566,Electric,Second Owner,3819341
Mitsubishi,236624,CNG,Third Owner,4144028
Jeep,87768,Petrol,Fourth Owner,4967286
Force,146820,Petrol,Third Owner,3593605
Force,67785,Electric,Fourth Owner,636296
Mahindra,81050,Electric,Fourth Owner,3817245
Citroen,27738,Electric,Second Owner,2860524
Citroen,79231,Electric,Third Owner,413269
Renault,78606,CNG,Second Owner,3331430
Volkswagen,229373,Electric,Third Owner,3067748
Datsun,46662,Diesel,Fourth Owner,1289497
Datsun,123313,Petrol,First Owner,4466748
Volkswagen,232369,Electric,First Owner,3678933
Datsun,218306,Diesel,Third Owner,1586162
Volvo,20123,Electric,Third Owner,2766492
